execution_rep.csv
Order ID, Client Order ID, Instrument, Side, Execution Status, Quantity, Price, Reason
ord1,aa001,Rose,1,New,100,55.55,
ord2,aa002,Rose,1,New,100,65,
ord3,aa003,Rose,2,PFill,100,65,
ord2,aa002,Rose,1,Fill,100,65,
ord3,aa003,Rose,2,PFill,100,55.55,
ord1,aa001,Rose,1,Fill,100,55.55,
ord4,aa004,Rose,1,Rejected,102,2,Invalid size
ord5,aa005,Lavender,2,New,500,45,
ord6,aa006,Lavender,1,Fill,400,45,
ord7,aa007,Lotus,1,Rejected,1010,33,Invalid size
ord8,aa008,Lotus,2,New,150,50,
ord9,aa009,Tulip,1,New,200,75,
ord10,aa010,Tulip,2,PFill,200,75,
ord9,aa009,Tulip,1,Fill,200,75,
ord11,aa011,Orchid,2,New,100,58,
ord12,aa012,Orchid,1,PFill,100,63,
ord11,aa011,Orchid,2,Fill,100,58,
ord13,aa013,Rose,2,New,300,2,
ord14,aa014,Rose,1,PFill,100,56,
ord3,aa003,Rose,2,Fill,300,1,
ord14,aa014,Rose,1,Fill,50,2,
ord15,aa015,Lavender,1,PFill,100,48,
ord5,aa005,Lavender,2,Fill,500,45,
ord16,aa016,Lavender,2,PFill,80,48,
ord15,aa015,Lavender,1,Fill,180,48,
ord17,aa017,Lotus,1,PFill,150,55,
ord8,aa008,Lotus,2,Fill,150,50,
ord18,aa018,Lotus,2,PFill,350,55,
ord17,aa017,Lotus,1,Fill,500,55,
ord19,aa019,Tulip,1,New,1000,41,
ord20,aa020,Tulip,2,New,600,50,
ord21,aa021,Orchid,1,New,400,65,
ord22,aa022,Orchid,2,Fill,300,42,
ord23,aa023,Rose,1,Fill,200,2,
ord24,aa024,Rose,2,New,500,61,
ord25,aa025,Lavender,1,PFill,120,47,
ord16,aa016,Lavender,2,Fill,200,44,
ord26,aa026,Lavender,2,PFill,480,47,
ord25,aa025,Lavender,1,Fill,600,47,
ord27,aa027,Lotus,1,PFill,50,35,
ord18,aa018,Lotus,2,Fill,400,33,
ord28,aa028,Lotus,2,Fill,100,25,
ord29,aa029,Tulip,1,Fill,150,50,
ord30,aa030,Tulip,2,New,300,90,
ord31,aa031,Orchid,1,New,200,70,
ord32,aa032,Orchid,2,PFill,200,70,
ord31,aa031,Orchid,1,Fill,200,70,
ord32,aa032,Orchid,2,PFill,100,65,
ord21,aa021,Orchid,1,Fill,400,65,
ord32,aa032,Orchid,2,PFill,150,63,
ord12,aa012,Orchid,1,Fill,250,63,
ord33,aa033,Rose,1,PFill,50,66,
ord13,aa013,Rose,2,Fill,300,2,
ord33,aa033,Rose,1,Fill,450,61,
ord34,aa034,Rose,2,New,400,30,
ord35,aa035,Lavender,1,New,450,35,
ord36,aa036,Lavender,2,New,300,60,
ord37,aa037,Lotus,1,New,200,42,
ord38,aa038,Lotus,2,New,600,55,
ord39,aa039,Tulip,1,New,1000,40,
ord40,aa040,Tulip,2,New,500,45,
ord41,aa041,Orchid,1,PFill,150,60,
ord32,aa032,Orchid,2,Fill,600,50,
ord42,aa042,Orchid,2,New,700,65,
ord43,aa043,Rose,1,Fill,300,30,
ord44,aa044,Rose,2,New,200,62,
ord45,aa045,Lavender,1,New,450,35,
ord46,aa046,Lavender,2,New,200,47,
ord47,aa047,Lotus,1,New,300,45,
ord48,aa048,Lotus,2,New,150,55,
ord49,aa049,Tulip,1,New,600,35,
ord50,aa050,Tulip,2,New,1000,65,
ord51,aa051,Orchid,1,New,150,55,
ord52,aa052,Orchid,2,Fill,350,60,
ord53,aa053,Rose,1,PFill,100,51,
ord34,aa034,Rose,2,Fill,400,30,
ord54,aa054,Rose,2,New,100,55,
ord55,aa055,Lavender,1,Fill,240,46,
ord56,aa056,Lavender,2,New,150,50,
ord57,aa057,Lotus,1,New,310,45,
ord58,aa058,Lotus,2,PFill,300,45,
ord47,aa047,Lotus,1,Fill,300,45,
ord58,aa058,Lotus,2,Fill,300,38,
ord59,aa059,Tulip,1,PFill,500,68,
ord40,aa040,Tulip,2,Fill,500,45,
ord59,aa059,Tulip,1,Fill,200,50,
ord60,aa060,Tulip,2,New,200,55,
ord61,aa061,Orchid,1,New,350,63,
ord62,aa062,Orchid,2,Fill,100,48,
ord63,aa063,Rose,1,New,600,52,
ord64,aa064,Rose,2,Fill,450,35,
ord65,aa065,Lavender,1,PFill,80,46,
ord26,aa026,Lavender,2,Fill,800,46,
ord66,aa066,Lavender,2,New,500,50,
ord67,aa067,Lotus,1,New,230,40,
ord68,aa068,Lotus,2,PFill,10,45,
ord57,aa057,Lotus,1,Fill,310,45,
ord68,aa068,Lotus,2,PFill,200,42,
ord37,aa037,Lotus,1,Fill,200,42,
ord68,aa068,Lotus,2,Fill,210,35,
ord69,aa069,Tulip,1,PFill,250,70,
ord20,aa020,Tulip,2,Fill,600,50,
ord69,aa069,Tulip,1,Fill,200,55,
ord60,aa060,Tulip,2,Fill,200,55,
ord70,aa070,Tulip,2,New,600,65,
ord71,aa071,Orchid,1,New,550,58,
ord72,aa072,Orchid,2,PFill,250,63,
ord61,aa061,Orchid,1,Fill,350,63,
ord72,aa072,Orchid,2,PFill,400,60,
ord41,aa041,Orchid,1,Fill,900,60,
ord73,aa073,Rose,1,PFill,100,68,
ord54,aa054,Rose,2,Fill,100,55,
ord73,aa073,Rose,1,PFill,50,68,
ord24,aa024,Rose,2,Fill,500,61,
ord73,aa073,Rose,1,PFill,200,68,
ord44,aa044,Rose,2,Fill,200,62,
ord74,aa074,Rose,2,PFill,650,68,
ord73,aa073,Rose,1,Fill,1000,68,
ord75,aa075,Lavender,1,PFill,200,48,
ord46,aa046,Lavender,2,Fill,200,47,
ord76,aa076,Lavender,2,New,500,52,
ord77,aa077,Lotus,1,New,600,35,
ord78,aa078,Lotus,2,New,500,48,
ord79,aa079,Tulip,1,Fill,1000,65,
ord50,aa050,Tulip,2,Fill,1000,65,
ord80,aa080,Tulip,2,Fill,600,35,
ord81,aa081,Orchid,1,New,900,55,
ord82,aa082,Orchid,2,PFill,550,58,
